,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
0,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004001001,营业额,178893000000.0
1,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004001002,其他营业收入,1129000000.0
2,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004001999,营运收入,180022000000.0
3,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004005001,营运支出,79529000000.0
4,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004007999,毛利,100493000000.0
5,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010002,其他收益,-1397000000.0
6,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010003,销售及分销费用,7866000000.0
7,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010004,行政开支,33664000000.0
8,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010999,经营溢利,57566000000.0
9,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004011200,利息收入,3748000000.0
10,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004011201,融资成本,3860000000.0
11,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004011202,应占联营公司溢利,4581000000.0
12,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004011997,溢利其他项目,1407000000.0
13,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004011999,除税前溢利,63442000000.0
14,00700.HK,00700,腾讯控股,10009066,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004012001,税项,13717000000.0
