,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
0,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001001,营业额,156168720000.0
1,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001999,营运收入,156168720000.0
2,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004005002,销售成本,114006028000.0
3,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004007999,毛利,42162692000.0
4,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010001,其他收入,2984394000.0
5,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,661024000.0
6,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010004,行政开支,4992949000.0
7,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010006,重估盈余,-2192462000.0
8,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010012,其他支出,2898537000.0
9,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010999,经营溢利,34402114000.0
10,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011201,融资成本,3363259000.0
11,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011202,应占联营公司溢利,1758457000.0
12,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011999,除税前溢利,32797312000.0
13,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012001,税项,8251619000.0
14,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,24545693000.0
15,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012999,除税后溢利,24545693000.0
16,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025001,少数股东损益,2173362000.0
17,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,22372331000.0
18,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,2.3611
19,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,2.3611
20,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004030997,其他全面收益其他项目,-243204000.0
21,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004030999,其他全面收益,-243204000.0
22,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004039999,全面收益总额,24302489000.0
23,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040001,非控股权益应占全面收益总额,2228054000.0
24,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,22074435000.0
25,01378.HK,01378,中国宏桥,10174782,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004099999,非运算项目,-114006028000.0
26,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004001001,营业额,133623632000.0
27,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004001999,营运收入,133623632000.0
28,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004005002,销售成本,112669035000.0
29,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004007999,毛利,20954597000.0
30,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010001,其他收入,3713038000.0
31,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010003,销售及分销费用,755274000.0
32,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010004,行政开支,4952875000.0
33,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010006,重估盈余,-49044000.0
34,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010012,其他支出,945299000.0
35,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010999,经营溢利,17965143000.0
36,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011201,融资成本,3267938000.0
37,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011202,应占联营公司溢利,1193259000.0
38,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011999,除税前溢利,15890464000.0
39,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012001,税项,3392712000.0
40,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012002,持续经营业务税后利润,12497752000.0
41,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012999,除税后溢利,12497752000.0
42,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004025001,少数股东损益,1037074000.0
43,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004025002,股东应占溢利,11460678000.0
44,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004027002,每股基本盈利,1.2095
45,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004027003,每股摊薄盈利,1.1952
46,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004030997,其他全面收益其他项目,-9750000.0
47,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004030999,其他全面收益,-9750000.0
48,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004039999,全面收益总额,12488002000.0
49,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004040001,非控股权益应占全面收益总额,1065412000.0
50,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,11422590000.0
51,01378.HK,01378,中国宏桥,10174782,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004099999,非运算项目,-112669035000.0
52,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004001001,营业额,131699427000.0
53,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004001999,营运收入,131699427000.0
54,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004005002,销售成本,113460127000.0
55,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004007999,毛利,18239300000.0
56,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010001,其他收入,3928933000.0
57,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010003,销售及分销费用,597679000.0
58,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010004,行政开支,5933759000.0
59,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010006,重估盈余,-184981000.0
60,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010012,其他支出,329047000.0
61,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010999,经营溢利,15122767000.0
62,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011201,融资成本,3019544000.0
63,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011202,应占联营公司溢利,503335000.0
64,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011999,除税前溢利,12606558000.0
65,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012001,税项,2797583000.0
66,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012002,持续经营业务税后利润,9808975000.0
67,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012999,除税后溢利,9808975000.0
68,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004025001,少数股东损益,1107022000.0
69,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004025002,股东应占溢利,8701953000.0
70,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004027002,每股基本盈利,0.9358
71,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004027003,每股摊薄盈利,0.9358
72,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004030997,其他全面收益其他项目,667548000.0
73,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004030999,其他全面收益,667548000.0
74,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004039999,全面收益总额,10476523000.0
75,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004040001,非控股权益应占全面收益总额,1259138000.0
76,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,9217385000.0
77,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004099999,非运算项目,-113460127000.0
78,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004001001,营业额,114490941000.0
